,ev_sales,roa,current_ratio,debt_assets,asset_turnover,revenue_growth,r_and_d_ratio,capex_ratio,net_income_margin,ocf_margin,log_ev_sales,log_revenue,log_total_assets
ev_sales,1.0,-0.13,0.01,-0.01,-0.12,0.07,0.15,-0.09,-0.12,-0.1,0.65,-0.11,-0.07
roa,-0.13,1.0,0.06,-0.16,0.08,-0.0,-0.21,0.18,0.9,0.69,0.04,0.58,0.55
current_ratio,0.01,0.06,1.0,-0.03,-0.01,0.0,0.13,0.2,0.04,-0.02,0.1,-0.18,-0.18
debt_assets,-0.01,-0.16,-0.03,1.0,-0.09,-0.05,-0.06,-0.08,-0.21,-0.05,0.12,0.05,0.05
asset_turnover,-0.12,0.08,-0.01,-0.09,1.0,0.2,-0.34,0.12,0.06,-0.22,-0.42,-0.01,-0.24
revenue_growth,0.07,-0.0,0.0,-0.05,0.2,1.0,-0.08,-0.01,-0.02,-0.09,0.07,-0.07,-0.09
r_and_d_ratio,0.15,-0.21,0.13,-0.06,-0.34,-0.08,1.0,-0.22,-0.23,-0.09,0.36,-0.21,-0.13
capex_ratio,-0.09,0.18,0.2,-0.08,0.12,-0.01,-0.22,1.0,0.16,0.11,-0.11,0.13,0.09
net_income_margin,-0.12,0.9,0.04,-0.21,0.06,-0.02,-0.23,0.16,1.0,0.75,0.06,0.56,0.53
ocf_margin,-0.1,0.69,-0.02,-0.05,-0.22,-0.09,-0.09,0.11,0.75,1.0,0.24,0.53,0.56
log_ev_sales,0.65,0.04,0.1,0.12,-0.42,0.07,0.36,-0.11,0.06,0.24,1.0,0.08,0.19
log_revenue,-0.11,0.58,-0.18,0.05,-0.01,-0.07,-0.21,0.13,0.56,0.53,0.08,1.0,0.97
log_total_assets,-0.07,0.55,-0.18,0.05,-0.24,-0.09,-0.13,0.09,0.53,0.56,0.19,0.97,1.0
